구별,cctv 댓수,2012년 이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,최근3개년,2017년 이전,최근 증가율,최근증가율2,인구수,외국인,고령자,외국인비율,고령자비율
종로구,1772,813,0,0,210,150,1,261,85,9,200,43,294,1435,20.49,20.49,155106,9077,27605,5.85,17.8
중구,2333,16,114,87,77,236,240,372,386,155,361,289,902,1142,78.98,78.98,132259,9243,23980,6.99,18.13
용산구,2383,34,71,234,125,221,298,351,125,307,617,0,1049,1334,78.64,78.64,240665,14287,38884,5.94,16.16
성동구,3602,448,125,212,105,339,310,874,390,262,461,76,1113,2413,46.13,46.13,295767,6605,45591,2.23,15.41
광진구,2588,35,57,100,187,98,52,675,465,712,175,32,1352,1204,112.29,112.29,355306,12825,50815,3.61,14.3
동대문구,2497,1090,146,60,29,111,233,136,197,209,223,63,629,1805,34.85,34.85,352259,14219,61262,4.04,17.39
중랑구,3296,302,24,253,88,141,161,162,173,1049,939,4,2161,1131,191.07,191.07,394679,4707,70172,1.19,17.78
성북구,3958,83,78,170,230,323,594,460,867,714,251,188,1832,1938,94.53,94.53,443206,9548,73568,2.15,16.6
강북구,2462,0,0,24,65,105,243,6,392,1000,588,39,1980,443,446.95,446.95,306093,3448,63383,1.13,20.71
도봉구,1629,39,22,96,181,79,159,134,222,198,168,331,588,710,82.82,82.82,322419,2054,62894,0.64,19.51
노원구,2415,0,97,193,77,516,331,175,216,320,386,104,922,1389,66.38,66.38,520005,4008,86697,0.77,16.67
은평구,3791,14,3,44,332,329,555,403,635,1057,288,131,1980,1680,117.86,117.86,479409,4038,85921,0.84,17.92
서대문구,2940,730,253,155,108,137,223,356,237,343,397,1,977,1962,49.8,49.8,317699,10629,53627,3.35,16.88
마포구,2421,58,93,77,61,162,454,359,343,494,300,20,1137,1264,89.95,89.95,379984,9852,53891,2.59,14.18
양천구,3312,1413,167,181,143,180,350,139,140,274,325,0,739,2573,28.72,28.72,454288,3296,66942,0.73,14.74
강서구,2560,55,129,106,213,188,168,506,259,457,356,123,1072,1365,78.53,78.53,582995,5476,90404,0.94,15.51
구로구,4075,852,216,349,187,268,326,540,488,434,415,0,1337,2738,48.83,48.83,424582,25316,71186,5.96,16.77
금천구,2374,0,0,178,80,361,133,196,540,369,508,9,1417,948,149.47,149.47,244685,14517,40181,5.93,16.42
영등포구,3778,572,136,238,123,209,248,311,658,65,1213,5,1936,1837,105.39,105.39,402375,24954,61571,6.2,15.3
동작구,2297,41,24,25,503,128,253,271,300,322,419,11,1041,1245,83.61,83.61,397231,9384,65732,2.36,16.55
관악구,4942,428,205,291,513,529,621,687,663,640,331,34,1634,3274,49.91,49.91,502698,13898,78647,2.76,15.64
서초구,3704,116,75,94,71,563,516,1060,428,358,420,3,1206,2495,48.34,48.34,422174,3767,60395,0.89,14.31
강남구,6502,124,77,75,597,840,1310,999,748,789,942,1,2479,4022,61.64,61.64,536107,4732,76184,0.88,14.21
송파구,2854,72,61,86,85,215,148,241,542,1068,235,101,1845,908,203.19,203.19,664341,5671,95164,0.85,14.32
강동구,2547,332,27,163,49,154,202,273,377,356,614,0,1347,1200,112.25,112.25,469094,3885,72275,0.83,15.41
